iter	Passed	Remaining
0	0	98
1	2	98
2	2	90
3	3	81
4	4	79
5	4	76
6	5	73
7	6	70
8	6	67
9	7	65
10	8	67
11	8	65
12	9	63
13	10	61
14	10	60
15	11	58
16	11	57
17	12	57
18	13	57
19	14	57
20	15	56
21	15	55
22	16	56
23	17	55
24	18	54
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	43
36	25	42
37	25	42
38	26	41
39	26	40
40	27	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	31	35
47	31	34
48	32	33
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	60	6
91	61	5
92	62	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
